;id;llegada(ts);hora_navegacion_inicio(ts);tiempo_navegacion;inicio_servicio(ts);fin_servicio(ts);tiempo_espera;tiempo_servicio;tiempo_ocioso;tiempo_total_operacion;peso_total_operado;peso_x_hora;clases_contenedores;contenedores_carga;contenedores_descarga;contenedores_total;proporcion_carga;medio_llenos;peso_medio_llenos_total;peso_x_hora_medio_lleno;proporcion_medio_llenos;reparacion;buque_espero_T_F;grua_ocioso_T_F;ciclo
0;1;0,0;0,0;0,9300363444884576;0,4627112408247548;31,982711240824756;0,0;31,52;0,0;31,982711240824756;9914,0;314,53;{np.str_('pesado'): 0.34, np.str_('liviano'): 0.36, np.str_('mediano'): 0.3};438;350;788;0,56;236;1784,0;71,36;0,3;0;False;False;0
1;2;17,796421998539834;31,982711240824756;0,775156593244401;32,25809615961612;86,29809615961612;14,186289242284921;54,04;0,0;68,5016741610763;17123,0;316,86;{np.str_('liviano'): 0.33, np.str_('mediano'): 0.35, np.str_('pesado'): 0.32};439;912;1351;0,32;418;3130,0;125,2;0,31;0;True;False;0
2;3;108,48147604262701;108,48147604262701;0,6980074639693945;108,74162561078943;157,14162561078942;0,0;48,4;22,183379883010886;48,66014956816241;15431,0;318,82;{np.str_('pesado'): 0.32, np.str_('mediano'): 0.35, np.str_('liviano'): 0.33};310;900;1210;0,26;364;2747,0;109,88;0,3;0;False;True;0
3;4;156,19958355584046;157,14162561078942;0,8673346386204976;157,51818319835166;185,47818319835167;0,9420420549489563;27,96;0,0;29,27859964251121;8797,0;314,63;{np.str_('pesado'): 0.33, np.str_('liviano'): 0.35, np.str_('mediano'): 0.32};115;584;699;0,16;218;1606,0;64,24;0,31;0;True;False;0
4;5;264,76494009444605;264,76494009444605;0,7080164261935447;265,2518784483041;315,0118784483041;0,0;49,76;79,28675689609437;50,24693835385807;15592,0;313,34;{np.str_('liviano'): 0.35, np.str_('pesado'): 0.32, np.str_('mediano'): 0.33};559;685;1244;0,45;378;2850,0;114,0;0,3;0;False;True;0
5;6;288,0221132426416;315,0118784483041;0,6432310713968195;315,45386638149876;353,3738663814988;26,989765205662536;37,92;0,0;65,35175313885719;12372,5;326,28;{np.str_('liviano'): 0.31, np.str_('pesado'): 0.36, np.str_('mediano'): 0.34};287;661;948;0,3;277;2099,5;83,98;0,29;0;True;False;0
6;7;303,94581595079944;353,3738663814988;0,7613030256995874;353,7817176292369;404,2217176292369;49,42805043069933;50,44;0,0;100,27590167843744;16009,5;317,4;{np.str_('mediano'): 0.33, np.str_('liviano'): 0.35, np.str_('pesado'): 0.32};201;1060;1261;0,16;357;2653,5;106,14;0,28;0;True;False;0
7;8;325,6661276377893;404,2217176292369;0,6113788239647664;404,5886162227685;427,9886162227685;78,55558999144756;23,4;0,0;102,32248858497917;7565,0;323,29;{np.str_('pesado'): 0.35, np.str_('mediano'): 0.3, np.str_('liviano'): 0.34};304;281;585;0,52;158;1194,0;47,76;0,27;0;True;False;0
8;9;392,77215809029565;427,9886162227685;0,8757006381674683;428,3726693595829;453,4526693595829;35,21645813247284;25,08;0,0;60,68051126928725;7937,5;316,49;{np.str_('mediano'): 0.35, np.str_('liviano'): 0.33, np.str_('pesado'): 0.32};173;454;627;0,28;195;1445,5;57,82;0,31;0;True;False;0
9;10;510,16070013490173;510,16070013490173;0,898026805188999;510,6239211737012;538,2639211737012;0,0;27,64;56,70803077531883;28,10322103879946;8990,0;325,25;{np.str_('mediano'): 0.33, np.str_('pesado'): 0.36, np.str_('liviano'): 0.31};474;217;691;0,69;204;1519,0;60,76;0,3;0;False;True;0
10;1;0,0;0,0;0,5261774601267581;0,35763098812011485;46,357630988120114;0,0;46,0;0,0;46,357630988120114;14180,5;322,28;{np.str_('pesado'): 0.32, np.str_('mediano'): 0.34, np.str_('liviano'): 0.34};462;638;1100;0,42;307;2281,5;91,26;0,28;1;False;False;1
11;2;48,28104466724805;48,28104466724805;0,7195563538272871;48,74281926591036;112,18281926591035;0,0;63,44;1,9234136791279326;63,90177459866231;20233,5;318,94;{np.str_('liviano'): 0.32, np.str_('pesado'): 0.33, np.str_('mediano'): 0.35};557;1029;1586;0,35;497;3742,5;149,7;0,31;0;False;True;1
12;3;49,92168144355741;112,18281926591035;0,6217211757848686;112,60723374074838;142,56723374074838;62,26113782235294;29,96;0,0;92,64555229719096;9072,0;324,46;{np.str_('liviano'): 0.33, np.str_('mediano'): 0.34, np.str_('pesado'): 0.34};446;253;699;0,64;190;1449,0;57,96;0,27;1;True;False;1
