;duracion_sistema;barcos_servidos;tasa_llegada_dias;gruas;rendimiento;ciclo
0;1118,3840818551037;[10];3,0;2;25;0
1;1470,0844469122273;[10];3,0;2;25;1
2;429,4204971915892;[10];3,0;2;25;2
3;573,0101229518039;[10];3,0;2;25;3
4;492,54744145672066;[10];3,0;2;25;4
5;616,8730901140107;[10];3,0;2;25;5
6;883,1693459710467;[10];3,0;2;25;6
7;665,0815216286834;[10];3,0;2;25;7
8;670,2253685484276;[10];3,0;2;25;8
9;558,209958265989;[10];3,0;2;25;9
10;656,0624198215994;[10];3,0;2;25;10
11;830,4746478567322;[10];3,0;2;25;11
12;750,4064295308724;[10];3,0;2;25;12
13;652,6935357222723;[10];3,0;2;25;13
14;688,4823434070219;[10];3,0;2;25;14
15;662,8935106592587;[10];3,0;2;25;15
16;1025,1072827237153;[10];3,0;2;25;16
17;716,5480641891609;[10];3,0;2;25;17
18;911,1382333877383;[10];3,0;2;25;18
19;535,9582572315031;[10];3,0;2;25;19
20;679,3995476504425;[10];3,0;2;25;20
21;835,3289140664722;[10];3,0;2;25;21
22;503,2971404530728;[10];3,0;2;25;22
23;781,0657267398869;[10];3,0;2;25;23
24;514,4801483873597;[10];3,0;2;25;24
25;619,4817289332262;[10];3,0;2;25;25
26;491,9149200413017;[10];3,0;2;25;26
27;848,3742162099844;[10];3,0;2;25;27
28;395,8413832118959;[10];3,0;2;25;28
29;858,3154565444729;[10];3,0;2;25;29
30;674,6500827064033;[10];3,0;2;25;30
31;883,804632746987;[10];3,0;2;25;31
32;1025,1833889445948;[10];3,0;2;25;32
33;675,8537540577106;[10];3,0;2;25;33
34;809,1323186585805;[10];3,0;2;25;34
35;352,3025463754534;[10];3,0;2;25;35
36;340,7546584646201;[10];3,0;2;25;36
37;630,5718372393784;[10];3,0;2;25;37
38;648,7650444295332;[10];3,0;2;25;38
39;340,7001823928231;[10];3,0;2;25;39
40;438,22656919293024;[10];3,0;2;25;40
41;437,8342858147777;[10];3,0;2;25;41
42;407,76580752214005;[10];3,0;2;25;42
43;777,2070712272388;[10];3,0;2;25;43
44;762,1368951111139;[10];3,0;2;25;44
45;481,7742086296083;[10];3,0;2;25;45
46;861,4173718278045;[10];3,0;2;25;46
47;603,2789598614166;[10];3,0;2;25;47
48;994,3156448278205;[10];3,0;2;25;48
49;994,9195886800758;[10];3,0;2;25;49
50;800,6278799690128;[10];3,0;2;25;50
51;768,2450332382014;[10];3,0;2;25;51
52;539,4309595786507;[10];3,0;2;25;52
53;935,9033763382781;[10];3,0;2;25;53
54;823,221072978328;[10];3,0;2;25;54
55;604,5219500192384;[10];3,0;2;25;55
56;469,31365130934915;[10];3,0;2;25;56
57;539,730826280569;[10];3,0;2;25;57
58;706,3103213600348;[10];3,0;2;25;58
59;409,671040762205;[10];3,0;2;25;59
60;1145,9504185997098;[10];3,0;2;25;60
61;612,7924170804557;[10];3,0;2;25;61
62;561,2004248498914;[10];3,0;2;25;62
63;1130,257801921811;[10];3,0;2;25;63
64;605,8001717452167;[10];3,0;2;25;64
65;942,5984114107007;[10];3,0;2;25;65
66;443,904713979431;[10];3,0;2;25;66
67;554,2836405214107;[10];3,0;2;25;67
68;682,684446729171;[10];3,0;2;25;68
69;518,4292798072171;[10];3,0;2;25;69
70;849,6663169204884;[10];3,0;2;25;70
71;411,3781430994049;[10];3,0;2;25;71
72;400,4059734661789;[10];3,0;2;25;72
73;684,1281916230864;[10];3,0;2;25;73
74;711,230068528478;[10];3,0;2;25;74
75;571,5637321726099;[10];3,0;2;25;75
76;515,8822126624165;[10];3,0;2;25;76
77;938,3765343706901;[10];3,0;2;25;77
78;489,51794584879127;[10];3,0;2;25;78
79;993,4447171695494;[10];3,0;2;25;79
80;602,7301515858732;[10];3,0;2;25;80
81;1122,6993447986374;[10];3,0;2;25;81
82;455,95640291414304;[10];3,0;2;25;82
83;802,4811759347101;[10];3,0;2;25;83
84;1006,8064309319146;[10];3,0;2;25;84
85;338,38712715851193;[10];3,0;2;25;85
86;398,4572467316443;[10];3,0;2;25;86
87;544,3037108876795;[10];3,0;2;25;87
88;513,451661542447;[10];3,0;2;25;88
89;319,5879047280554;[10];3,0;2;25;89
90;797,8268386477233;[10];3,0;2;25;90
91;620,5456193169914;[10];3,0;2;25;91
92;1182,609027252755;[10];3,0;2;25;92
93;478,3691027930316;[10];3,0;2;25;93
94;1231,66114789523;[10];3,0;2;25;94
95;370,8161795982495;[10];3,0;2;25;95
96;717,3916982969024;[10];3,0;2;25;96
97;567,3479470091212;[10];3,0;2;25;97
98;441,80031455434903;[10];3,0;2;25;98
99;539,3453809018189;[10];3,0;2;25;99
100;768,4500986226658;[10];3,0;2;25;100
101;844,7624425043605;[10];3,0;2;25;101
102;383,0715347844243;[10];3,0;2;25;102
103;868,7800541948135;[10];3,0;2;25;103
104;971,4152227209717;[10];3,0;2;25;104
105;585,8306043373351;[10];3,0;2;25;105
106;807,0929718480877;[10];3,0;2;25;106
107;771,1205277500568;[10];3,0;2;25;107
108;540,0571014941534;[10];3,0;2;25;108
109;283,60331717545967;[10];3,0;2;25;109
110;815,195643092214;[10];3,0;2;25;110
111;348,58497136519475;[10];3,0;2;25;111
112;862,8164856621144;[10];3,0;2;25;112
113;984,4802342156586;[10];3,0;2;25;113
114;1057,230709595633;[10];3,0;2;25;114
115;964,2850178779842;[10];3,0;2;25;115
116;674,6880515292705;[10];3,0;2;25;116
117;669,2081651991864;[10];3,0;2;25;117
118;490,0119663855354;[10];3,0;2;25;118
119;695,8924397134671;[10];3,0;2;25;119
120;600,0333809862597;[10];3,0;2;25;120
121;843,970112173424;[10];3,0;2;25;121
122;723,6882339064215;[10];3,0;2;25;122
123;1391,6115042351278;[10];3,0;2;25;123
124;611,6436223981981;[10];3,0;2;25;124
125;760,4498240155435;[10];3,0;2;25;125
126;869,6600800889686;[10];3,0;2;25;126
127;1259,8007763424353;[10];3,0;2;25;127
128;587,1826395811515;[10];3,0;2;25;128
129;583,2974636552335;[10];3,0;2;25;129
130;790,4800704689445;[10];3,0;2;25;130
131;556,7235627534578;[10];3,0;2;25;131
132;590,0637908939997;[10];3,0;2;25;132
133;558,2079126151338;[10];3,0;2;25;133
134;384,7876780827793;[10];3,0;2;25;134
135;658,5655617825491;[10];3,0;2;25;135
136;350,3353079264118;[10];3,0;2;25;136
137;620,6394399435367;[10];3,0;2;25;137
138;899,0609398126932;[10];3,0;2;25;138
139;1113,223029041739;[10];3,0;2;25;139
140;602,2006009613442;[10];3,0;2;25;140
141;463,46226500851384;[10];3,0;2;25;141
142;933,6899185659286;[10];3,0;2;25;142
143;874,6413774482319;[10];3,0;2;25;143
144;410,7440904501849;[10];3,0;2;25;144
145;658,4203233258305;[10];3,0;2;25;145
146;666,4113377618816;[10];3,0;2;25;146
147;1012,129927389081;[10];3,0;2;25;147
148;806,6513757359286;[10];3,0;2;25;148
149;1023,315097835556;[10];3,0;2;25;149
150;1016,1562294650017;[10];3,0;2;25;150
151;1022,2069756463807;[10];3,0;2;25;151
152;488,49879996289354;[10];3,0;2;25;152
153;992,30663725561;[10];3,0;2;25;153
154;541,5105674063415;[10];3,0;2;25;154
155;1097,7798439096648;[10];3,0;2;25;155
156;719,7002612410297;[10];3,0;2;25;156
157;541,1576924547122;[10];3,0;2;25;157
158;530,0289647960915;[10];3,0;2;25;158
159;798,1451735826984;[10];3,0;2;25;159
160;695,3456482785596;[10];3,0;2;25;160
161;499,50388803489614;[10];3,0;2;25;161
162;649,1384409782963;[10];3,0;2;25;162
163;383,91492423666466;[10];3,0;2;25;163
164;894,7338452490183;[10];3,0;2;25;164
165;779,0282325329335;[10];3,0;2;25;165
166;609,6111666579724;[10];3,0;2;25;166
167;626,6370860380977;[10];3,0;2;25;167
168;436,8039281247825;[10];3,0;2;25;168
169;714,3708111854229;[10];3,0;2;25;169
170;708,146912321307;[10];3,0;2;25;170
171;407,88263527537896;[10];3,0;2;25;171
172;791,59923111403;[10];3,0;2;25;172
173;730,9331229814601;[10];3,0;2;25;173
174;907,9558319833421;[10];3,0;2;25;174
175;615,1167532904975;[10];3,0;2;25;175
176;676,6309864109616;[10];3,0;2;25;176
177;587,2640982746668;[10];3,0;2;25;177
178;373,9596318747672;[10];3,0;2;25;178
179;609,090734280542;[10];3,0;2;25;179
180;559,5448066543755;[10];3,0;2;25;180
181;484,5275580447653;[10];3,0;2;25;181
182;903,2312494694878;[10];3,0;2;25;182
183;677,1503091101146;[10];3,0;2;25;183
184;509,64091319432765;[10];3,0;2;25;184
185;979,0675491163456;[10];3,0;2;25;185
186;819,5327889992524;[10];3,0;2;25;186
187;1083,7239019949388;[10];3,0;2;25;187
188;1244,5832797689695;[10];3,0;2;25;188
189;714,085868560409;[10];3,0;2;25;189
190;897,5544569602816;[10];3,0;2;25;190
191;559,1095284048563;[10];3,0;2;25;191
192;517,72534677668;[10];3,0;2;25;192
193;623,2118275942092;[10];3,0;2;25;193
194;349,9376967437439;[10];3,0;2;25;194
195;533,457501256147;[10];3,0;2;25;195
196;882,5034095893539;[10];3,0;2;25;196
197;594,4922307309322;[10];3,0;2;25;197
198;689,6745413529043;[10];3,0;2;25;198
199;533,2729649639931;[10];3,0;2;25;199
200;824,3923416833519;[10];3,0;2;25;200
201;634,0408863166277;[10];3,0;2;25;201
202;607,9920248056633;[10];3,0;2;25;202
203;478,7807662117108;[10];3,0;2;25;203
204;1118,8002031461597;[10];3,0;2;25;204
205;770,6015303693591;[10];3,0;2;25;205
206;684,3691234756068;[10];3,0;2;25;206
207;504,0134505292961;[10];3,0;2;25;207
208;433,81933868391394;[10];3,0;2;25;208
209;837,9724134125662;[10];3,0;2;25;209
210;1055,697874201567;[10];3,0;2;25;210
211;722,665753171067;[10];3,0;2;25;211
212;521,0391307255052;[10];3,0;2;25;212
213;872,9340254776115;[10];3,0;2;25;213
214;572,9560504774406;[10];3,0;2;25;214
215;1184,5068726864768;[10];3,0;2;25;215
216;576,712884393644;[10];3,0;2;25;216
217;1004,7739633319286;[10];3,0;2;25;217
218;507,5788983144911;[10];3,0;2;25;218
219;728,9633473972245;[10];3,0;2;25;219
220;890,7062488408953;[10];3,0;2;25;220
221;499,8061926440375;[10];3,0;2;25;221
222;506,84753438740915;[10];3,0;2;25;222
223;380,2417558349466;[10];3,0;2;25;223
224;1341,3093622098843;[10];3,0;2;25;224
225;654,2751097023728;[10];3,0;2;25;225
226;455,5995203166017;[10];3,0;2;25;226
227;883,4373899629518;[10];3,0;2;25;227
228;1464,9503705302202;[10];3,0;2;25;228
229;406,20054793081863;[10];3,0;2;25;229
230;921,5959522793656;[10];3,0;2;25;230
231;616,7902072778943;[10];3,0;2;25;231
232;774,8163924816613;[10];3,0;2;25;232
233;858,1308771077977;[10];3,0;2;25;233
234;812,0241000069507;[10];3,0;2;25;234
235;783,5434884677263;[10];3,0;2;25;235
236;990,4164036596217;[10];3,0;2;25;236
237;699,4562987235887;[10];3,0;2;25;237
238;649,7719000804934;[10];3,0;2;25;238
239;1023,9792700753817;[10];3,0;2;25;239
240;956,1529254357667;[10];3,0;2;25;240
241;610,9165647196535;[10];3,0;2;25;241
242;599,6498740637543;[10];3,0;2;25;242
243;556,2761526612348;[10];3,0;2;25;243
244;622,6562226988549;[10];3,0;2;25;244
245;945,9741553939417;[10];3,0;2;25;245
246;491,73281434287435;[10];3,0;2;25;246
247;1052,389732832607;[10];3,0;2;25;247
248;624,8695163003915;[10];3,0;2;25;248
249;608,476279401743;[10];3,0;2;25;249
250;581,1711704790558;[10];3,0;2;25;250
251;360,565912857794;[10];3,0;2;25;251
252;854,9068276670185;[10];3,0;2;25;252
253;435,4026125768024;[10];3,0;2;25;253
254;708,9504452732024;[10];3,0;2;25;254
255;633,2514500684756;[10];3,0;2;25;255
256;445,006920278482;[10];3,0;2;25;256
257;610,457082573047;[10];3,0;2;25;257
258;748,3720307342909;[10];3,0;2;25;258
259;353,11873820360915;[10];3,0;2;25;259
260;854,7106571336802;[10];3,0;2;25;260
261;413,83659480157553;[10];3,0;2;25;261
262;868,3847062109396;[10];3,0;2;25;262
263;790,1926977833348;[10];3,0;2;25;263
264;960,5121314453443;[10];3,0;2;25;264
265;738,2459840773383;[10];3,0;2;25;265
266;638,8515592145848;[10];3,0;2;25;266
267;310,76675828708346;[10];3,0;2;25;267
268;505,6923097489729;[10];3,0;2;25;268
269;742,6896182431858;[10];3,0;2;25;269
270;430,1631528407911;[10];3,0;2;25;270
